,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea
0,12.24769911637256,7,1710,2,548
1,12.109016442313738,6,1262,2,460
2,12.317171167298682,7,1786,2,608
3,11.849404844423074,7,1717,3,642
4,12.429220196836383,8,2198,3,836
5,11.870606902224587,5,1362,2,480
6,12.634606283893019,8,1694,2,636
7,12.206077645517674,7,2090,2,484
8,11.774527900858468,7,1774,2,468
9,11.678448377988165,5,1077,1,205
10,11.771443882099637,5,1040,1,384
11,12.75130259456002,9,2324,3,736
12,11.87757552297847,5,912,1,352
13,12.540761149388421,7,1494,3,840
14,11.964007453736912,6,1253,1,352
15,11.790564777297387,7,854,2,576
16,11.91170829631447,6,1004,2,480
17,11.407576060361786,4,1296,2,516
18,11.976665770490767,5,1114,2,576
19,11.842236406331555,5,1339,1,294
20,12.692506186542177,8,2376,3,853
21,11.845109950883979,7,1108,1,280
22,12.345838935721968,8,1795,2,534
23,11.774527900858468,5,1060,2,572
24,11.944714374881176,5,1060,1,270
25,12.454107814022272,8,1600,3,890
26,11.811554895830454,5,900,2,576
27,12.631343648903034,8,1704,3,772
28,12.242891437918386,5,1600,1,319
29,11.134603622683905,4,520,1,240
31,11.914054519303125,5,1228,1,271
32,12.100161978566867,8,1234,2,484
33,12.016732516077072,5,1700,2,447
34,12.533579815765737,9,1561,2,556
35,12.6410997921206,8,2452,3,691
36,11.884495917930655,5,1097,2,672
37,11.938199736300925,5,1297,2,498
38,11.599112335481124,5,1057,1,246
39,11.314486721293981,4,1152,0,0
40,11.982935344196433,6,1324,2,440
41,12.04355959836804,5,1328,1,308
42,11.87757552297847,5,884,2,504
43,11.777218637129327,5,938,1,308
44,11.856522261533737,5,1150,1,300
45,12.675766851909591,9,1752,2,576
46,12.387089184491993,7,2149,2,670
47,12.428019481065613,8,1656,3,826
48,11.635151947212842,4,1452,0,0
49,11.751950239425476,5,955,1,386
50,12.083910661257521,6,1470,2,388
51,11.648338835562747,6,1176,2,528
52,11.608244735642321,5,816,2,516
53,12.861001210669146,9,1842,3,894
54,11.775297421715827,5,1360,2,572
55,12.103491596905931,6,1425,2,576
56,12.058158312538197,8,1739,2,480
57,12.188422799337028,7,1720,2,565
58,12.991755706536901,10,2945,3,641
59,11.735276702486741,5,780,1,352
60,11.970356641102999,6,1158,2,576
61,11.522885696764481,5,1111,1,288
62,12.218500103788143,8,1370,2,484
63,11.849404844423074,7,1710,2,480
64,12.299112067295642,7,2034,2,645
65,12.666660207428574,8,2473,3,852
66,12.100717685412471,7,2207,2,576
67,12.328294703023394,7,1479,2,558
68,11.289794413577894,4,747,1,220
69,12.323860125621126,7,2287,2,667
70,12.404927602627597,7,2223,2,516
71,11.771443882099637,4,845,2,360
72,12.128116509451258,7,1718,2,427
73,11.88380602959621,5,1086,2,490
74,11.58432477200052,3,1605,1,379
75,11.418625774449598,4,988,1,297
76,11.818577604251555,4,952,1,283
77,11.751950239425476,5,1285,1,240
78,11.824087219587643,4,1768,0,0
79,11.608244735642321,5,1230,2,440
80,12.173037959397275,6,2142,1,509
81,11.941462360646149,6,1337,2,405
82,12.409017571151187,8,1563,3,758
83,11.748005492256807,5,1065,2,461
84,12.034696963475044,7,1474,2,400
85,12.468440756144114,8,2417,2,462
86,12.066816325306588,6,1560,2,400
87,12.010671928196443,6,1224,2,528
88,11.350418300109132,3,1526,0,0
89,11.724813914587886,4,990,0,0
90,11.60733523953139,4,1040,2,420
91,11.498836682527127,5,1235,2,480
92,12.004574385508691,5,964,2,432
93,11.804855999911272,6,2291,2,506
94,12.229549885708273,6,1786,2,684
95,12.128116509451258,6,1470,2,420
96,12.273735966890268,7,1588,2,472
97,11.459007676978688,4,960,1,432
98,11.326607934898927,5,835,1,366
99,11.767187766223199,4,1225,0,0
100,12.230770136157428,6,1610,2,480
101,12.08954444723597,6,1732,2,476
102,11.68658461118553,5,1535,2,410
103,12.200562492481511,7,1226,3,740
104,12.040614105490253,7,1818,1,240
105,12.429220196836383,8,1992,2,648
106,11.51293546492023,4,1047,1,273
107,11.652696102959753,5,789,1,250
108,11.652696102959753,5,1517,0,0
109,12.154784614286667,6,1844,2,546
110,11.827013315851762,6,1855,1,325
111,12.100717685412471,7,1430,2,400
112,12.85832230788469,7,2696,3,792
113,12.28765724080691,6,2259,2,450
114,12.466515835145202,6,2320,1,180
115,12.07824495582233,6,1458,2,440
116,11.842236406331555,5,1092,1,288
117,11.951186847493476,5,1125,2,430
118,12.676079399771027,7,3222,3,594
119,12.0075668272517,6,1456,2,390
120,12.100717685412471,6,988,2,540
121,11.51293546492023,4,1123,1,264
122,11.820417517632333,6,1080,1,288
123,11.944064817531656,6,1199,2,530
124,12.10625783509458,6,1586,2,435
125,11.344518647594766,6,754,0,0
126,11.759793355371237,6,958,2,440
127,11.373674891823535,5,840,0,0
128,11.951186847493476,6,1348,2,453
129,11.918397239722838,5,1053,2,750
130,12.328294703023394,7,2157,2,487
131,12.404927602627597,6,2054,2,390
132,11.923384748066601,5,1327,2,624
133,12.301387370778713,8,1296,2,471
134,12.100717685412471,5,1721,2,440
135,12.066816325306588,7,1682,2,530
136,11.870606902224587,5,1214,1,318
137,12.049424683420915,7,1959,3,766
138,12.345838935721968,8,1852,3,660
139,12.352339472153524,6,1764,2,470
140,11.652696102959753,4,864,0,0
141,12.468440756144114,7,1734,2,660
142,12.019749091416921,5,1385,2,720
143,12.225880174775122,7,1501,2,577
144,11.736077016252437,5,1728,2,504
145,11.775297421715827,6,1709,2,380
146,11.561725152903833,5,875,1,180
147,12.312686874960354,7,2035,2,434
148,11.856522261533737,7,1080,0,0
149,11.652696102959753,5,1344,1,240
150,11.711784520403112,5,969,2,440
151,12.827731880206521,8,1710,3,866
152,12.154784614286667,6,1993,2,495
153,12.367345048436391,6,1252,2,564
154,11.736077016252437,6,1200,1,312
155,11.277215789596893,6,1096,0,0
156,11.603688960617083,5,1040,2,625
157,12.504327379899443,8,1968,3,680
158,12.448630513463613,7,1947,2,678
159,12.676079399771027,7,2462,2,576
160,11.998439434579149,6,1232,2,516
161,12.929993908996359,9,2668,3,726
162,12.301387370778713,7,1541,2,532
163,11.544433821905134,4,882,0,0
164,11.931642378754141,6,1616,1,216
165,11.755879486687116,5,1355,0,0
166,12.154784614286667,5,1867,1,303
167,12.693501691489768,8,2161,3,789
168,12.119975396053194,7,1720,2,440
169,12.337105293891872,8,1707,2,511
170,11.763691965388299,5,1382,2,660
